Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Granit Xhaka,ch SUI,MF,30.0,50,47,4148.0,46.1,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,2.3,2.3,3.9,6.2,83.0,498.0,65.0,0.09,0.04,0.13,0.09,0.13,0.06,0.09,0.15,0.06,0.15,Matches,Bayer-Leverkusen
Álex Grimaldo,es ESP,DF,27.0,51,45,4071.0,45.2,12.0,18.0,30.0,12.0,0.0,0.0,3.0,0.0,7.2,7.2,11.8,19.0,113.0,209.0,334.0,0.27,0.4,0.66,0.27,0.66,0.18,0.29,0.47,0.18,0.47,Matches,Bayer-Leverkusen
Jonathan Tah,de GER,DF,27.0,48,45,3983.0,44.3,6.0,1.0,7.0,6.0,0.0,0.0,10.0,0.0,2.4,2.4,0.4,2.8,18.0,181.0,7.0,0.14,0.02,0.16,0.14,0.16,0.06,0.01,0.07,0.06,0.07,Matches,Bayer-Leverkusen
Edmond Tapsoba,bf BFA,DF,24.0,46,39,3486.0,38.7,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,1.1,2.9,66.0,219.0,16.0,0.08,0.03,0.1,0.08,0.1,0.05,0.03,0.09,0.05,0.09,Matches,Bayer-Leverkusen
Florian Wirtz,de GER,"MF,FW",20.0,49,39,3456.0,38.4,18.0,19.0,37.0,16.0,2.0,2.0,7.0,0.0,11.6,10.9,10.3,21.1,186.0,296.0,371.0,0.47,0.49,0.96,0.42,0.91,0.34,0.3,0.64,0.32,0.62,Matches,Bayer-Leverkusen
Jeremie Frimpong,nl NED,"DF,MF",22.0,47,38,3343.0,37.1,14.0,10.0,24.0,14.0,0.0,0.0,7.0,0.0,11.9,11.9,7.6,19.5,186.0,60.0,433.0,0.38,0.27,0.65,0.38,0.65,0.37,0.24,0.61,0.37,0.61,Matches,Bayer-Leverkusen
Lukáš Hrádecký,fi FIN,GK,33.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayer-Leverkusen
Robert Andrich,de GER,"MF,DF",28.0,45,31,2929.0,32.5,6.0,4.0,10.0,6.0,0.0,0.0,8.0,0.0,2.1,2.1,2.2,4.3,29.0,141.0,17.0,0.18,0.12,0.31,0.18,0.31,0.08,0.08,0.16,0.08,0.16,Matches,Bayer-Leverkusen
Jonas Hofmann,de GER,"MF,FW",31.0,46,32,2760.0,30.7,8.0,9.0,17.0,8.0,0.0,0.0,3.0,0.0,7.0,7.0,9.6,16.6,74.0,139.0,254.0,0.26,0.29,0.55,0.26,0.55,0.25,0.35,0.6,0.25,0.6,Matches,Bayer-Leverkusen
Exequiel Palacios,ar ARG,MF,24.0,36,30,2652.0,29.5,6.0,5.0,11.0,3.0,3.0,3.0,8.0,0.0,4.2,2.6,4.6,7.3,34.0,204.0,73.0,0.2,0.17,0.37,0.1,0.27,0.16,0.17,0.33,0.1,0.27,Matches,Bayer-Leverkusen
Piero Hincapié,ec ECU,DF,21.0,43,29,2621.0,29.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,1.2,4.2,56.0,136.0,70.0,0.03,0.07,0.1,0.03,0.1,0.11,0.05,0.16,0.11,0.16,Matches,Bayer-Leverkusen
Josip Stanišić,hr CRO,DF,23.0,38,25,2361.0,26.2,4.0,6.0,10.0,4.0,0.0,0.0,3.0,0.0,0.9,0.9,3.4,4.3,72.0,124.0,94.0,0.15,0.23,0.38,0.15,0.38,0.04,0.15,0.19,0.04,0.19,Matches,Bayer-Leverkusen
Odilon Kossonou,ci CIV,DF,22.0,34,27,2291.0,25.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.6,0.6,0.7,1.3,55.0,158.0,30.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches,Bayer-Leverkusen
Amine Adli,ma MAR,"MF,FW",23.0,42,23,2267.0,25.2,10.0,11.0,21.0,9.0,1.0,1.0,6.0,0.0,6.7,6.7,4.9,11.6,61.0,72.0,248.0,0.4,0.44,0.83,0.36,0.79,0.32,0.24,0.56,0.32,0.56,Matches,Bayer-Leverkusen
Victor Boniface,ng NGA,FW,22.0,34,24,2099.0,23.3,21.0,10.0,31.0,16.0,5.0,5.0,3.0,0.0,20.0,16.1,4.9,21.0,60.0,44.0,182.0,0.9,0.43,1.33,0.69,1.11,0.94,0.23,1.17,0.75,0.98,Matches,Bayer-Leverkusen
Patrik Schick,cz CZE,"FW,MF",27.0,33,18,1556.0,17.3,13.0,0.0,13.0,12.0,1.0,1.0,2.0,0.0,8.8,8.0,1.3,9.2,13.0,23.0,106.0,0.75,0.0,0.75,0.69,0.69,0.58,0.08,0.66,0.52,0.61,Matches,Bayer-Leverkusen
Matej Kovar,cz CZE,GK,23.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bayer-Leverkusen
